CYP4F2_allele	AFR	AMR	SAS	EAS	NFE	ALL
*1*1	0.85340644	0.34715664	0.35796289	0.60233121	0.48888064	0.5575007
*1*2	9.24E-07	5.89E-07	5.98E-07	7.76E-07	6.99E-07	7.38364E-07
*1*3	0.07039356	0.24204336	0.24033711	0.17376879	0.21031936	0.180862936
*2*1	9.24E-07	5.89E-07	5.98E-07	7.76E-07	6.99E-07	7.38364E-07
*2*2	1.00E-12	1.00E-12	1.00E-12	1.00E-12	1.00E-12	1E-12
*2*3	7.62E-08	4.11E-07	4.02E-07	2.24E-07	3.01E-07	2.61636E-07
*3*1	0.07039356	0.24204336	0.24033711	0.17376879	0.21031936	0.180862936
*3*2	7.62E-08	4.11E-07	4.02E-07	2.24E-07	3.01E-07	2.61636E-07
*3*3	0.00580644	0.16875664	0.16136289	0.05013121	0.09048064	0.080773427
